Index,Symbol,Action Type,Order Type,Total Qty.,Qty. Filled,Qty. Remaining,Price,Stop Price,Limit Price,Created Date/Time (E),Update Date/Time (E)
259,FROG,Buy,Market,148,148,0,45.12,0,0,3/1/2024 10:17,3/1/2024 10:18
260,FROG,Sell,Stop,148,148,0,42.73,43.01,0,3/1/2024 10:18,3/5/2024 9:31
262,ASPN,Buy,Market,360,360,0,18.57,0,0,3/1/2024 11:45,3/1/2024 11:46
263,ASPN,Sell,Stop,360,360,0,17.47,17.47,0,3/1/2024 11:46,3/1/2024 13:04
265,HIMS,Buy,Market,492,492,0,13.73,0,0,3/4/2024 9:40,3/4/2024 9:41
266,HIMS,Sell,Stop,492,492,0,12.94,12.94,0,3/4/2024 9:41,3/6/2024 9:31
268,IOVA,Sell,Market,327,327,0,16.83,0,0,3/6/2024 9:31,3/6/2024 9:32
270,PLTR,Sell,Market,265,265,0,25.64,0,0,3/6/2024 9:31,3/6/2024 9:32
271,POWL,Sell,Market,19,19,0,173.41,0,0,3/6/2024 9:31,3/6/2024 9:32
269,KYMR,Sell,Market,87,87,0,42.62,0,0,3/6/2024 9:31,3/6/2024 9:38
272,BLZE,Buy,Market,570,570,0,11.84,0,0,3/6/2024 9:34,3/6/2024 9:35
273,BLZE,Sell,Stop,570,570,0,11.03,11.03,0,3/6/2024 9:35,3/11/2024 9:44
275,PLTR,Buy,Market,257,257,0,26.15,0,0,3/6/2024 9:44,3/6/2024 9:45
276,PLTR,Sell,Stop,257,257,0,25.13,25.13,0,3/6/2024 9:45,3/6/2024 9:58
278,IMNM,Buy,Market,254,254,0,26.41,0,0,3/6/2024 9:49,3/6/2024 9:50
279,IMNM,Sell,Stop,254,254,0,24.22,24.22,0,3/6/2024 9:50,3/11/2024 15:39
281,PLTR,Buy,Market,258,258,0,25.99,0,0,3/6/2024 11:12,3/6/2024 11:13
282,PLTR,Sell,Stop,258,258,0,24.98,24.98,0,3/6/2024 11:13,3/12/2024 9:33
285,MRUS,Sell,Market,75,75,0,48.35,0,0,3/7/2024 9:31,3/7/2024 9:33
284,KROS,Sell,Market,49,49,0,66.76,0,0,3/7/2024 9:31,3/7/2024 9:35
286,MAX,Buy,Market,299,299,0,22.56,0,0,3/7/2024 9:33,3/7/2024 9:34
287,MAX,Sell,Stop,299,299,0,21.37,21.37,0,3/7/2024 9:34,3/7/2024 9:47
289,MOD,Sell,Market,39,39,0,87.76,0,0,3/8/2024 9:31,3/8/2024 9:32
290,VKTX,Sell,Market,105,105,0,76.64,0,0,3/8/2024 9:31,3/8/2024 9:32
291,GCT,Sell,Market,176,176,0,34.77,0,0,3/8/2024 9:31,3/8/2024 9:32
292,SANA,Sell,Market,451,451,0,9.87,0,0,3/8/2024 9:31,3/8/2024 9:32
293,TARS,Sell,Market,93,93,0,35.56,0,0,3/8/2024 9:31,3/8/2024 9:33
294,CVNA,Buy,Market,76,76,0,87.36,0,0,3/8/2024 9:33,3/8/2024 9:34
295,CVNA,Sell,Stop,76,76,0,79.47,79.47,0,3/8/2024 9:34,3/11/2024 10:08
297,APP,Sell,Market,100,100,0,61,0,0,3/12/2024 9:31,3/12/2024 9:32
298,SOUN,Buy,Market,1017,1017,0,6.39,0,0,3/12/2024 9:59,3/12/2024 10:00
300,SOUN,Sell,Limit,508,508,0,9.55,0,9.2,3/12/2024 10:00,3/14/2024 9:31
