Index,Symbol,Direction,Entry Price,Entry Date/Time (E),Exit Date/Time (E),Status,Current Price,Exit Price,Entry Qty,Qty,SL,TP,Exit Qty,Change,Change %,Ticks/Pips,Account PnL,PnL,PnL %,MFE,MAE
334,PLTR,Long,63.49,11/22/2024 11:39,12/19/2024 9:32,Closed,0,74.42,182,0,0,0,182,11.06,17.42,1106,1988.35,1988.35,17.21,17.42,-0.12
335,ALGS,Long,20.74,11/25/2024 9:38,1/8/2025 9:32,Closed,0,38.08,570,0,0,0,570,20.07,96.77,2007,9886.65,9886.65,83.63,26.06,-1.24
336,NPWR,Long,13.7,11/26/2024 9:34,11/26/2024 14:58,Closed,0,12.34,840,0,0,0,840,-1.36,-9.93,-136,-1142.4,-1142.4,-9.93,0,-1.36
337,MDXG,Long,9.48,11/27/2024 9:43,12/12/2024 9:32,Closed,0,9.3,1219,0,0,0,1219,-0.18,-1.9,-18,-219.42,-219.42,-1.9,0.66,-0.42
338,HUT,Long,26.48,11/27/2024 10:11,12/4/2024 9:32,Closed,0,25.26,438,0,0,0,438,-1.22,-4.61,-122,-534.36,-534.36,-4.61,3.69,-1.77
339,BTDR,Long,13.46,11/29/2024 9:34,12/19/2024 9:32,Closed,0,19.54,871,0,0,0,871,6.62,49.18,662,5295.14,5295.14,45.17,12.05,-0.33
340,MARA,Long,28.01,11/29/2024 9:36,12/2/2024 14:01,Closed,0,24.44,419,0,0,0,419,-3.57,-12.75,-357,-1495.83,-1495.83,-12.75,2.27,-3.57
341,ML,Long,90.14,11/29/2024 10:02,12/3/2024 9:44,Closed,0,84.26,132,0,0,0,132,-5.88,-6.52,-588,-776.16,-776.16,-6.52,1.71,-5.88
342,SOUN,Long,8.48,11/29/2024 10:08,1/2/2025 9:32,Closed,0,15.7,1419,0,0,0,1419,11.7,137.97,1170,10240.7,10240.7,85.1,16.5,-0.07
343,TSLA,Long,357.54,12/2/2024 9:34,12/23/2024 9:32,Closed,0,419.5,33,0,0,0,33,72.94,20.4,7294,2044.78,2044.78,17.33,131,-9.34
344,ARQQ,Long,23.63,12/2/2024 9:34,12/5/2024 9:55,Closed,0,18.51,508,0,0,0,508,-5.12,-21.67,-512,-2600.96,-2600.96,-21.67,8.87,-5.12
345,OUST,Long,10.3,12/2/2024 10:49,12/3/2024 9:31,Closed,0,9.47,1155,0,0,0,1155,-0.83,-8.06,-83,-958.65,-958.65,-8.06,0.06,-0.83
346,LITE,Long,89.74,12/3/2024 12:41,12/11/2024 9:32,Closed,0,88.13,128,0,0,0,128,-1.61,-1.79,-161,-206.08,-206.08,-1.79,6.18,-3.53
347,HSAI,Long,9.62,12/4/2024 9:34,12/17/2024 9:32,Closed,0,10.23,1198,0,0,0,1198,0.61,6.34,61,730.78,730.78,6.34,2.24,-0.67
348,COIN,Long,317.61,12/4/2024 9:36,12/10/2024 9:32,Closed,0,317.24,36,0,0,0,36,-0.37,-0.12,-37,-13.32,-13.32,-0.12,32.14,-7.93
349,AI,Long,38.24,12/4/2024 9:48,12/12/2024 9:32,Closed,0,37.81,304,0,0,0,304,-0.43,-1.12,-43,-130.72,-130.72,-1.12,6.84,-2.62
350,DXYZ,Long,45.47,12/4/2024 9:54,12/19/2024 9:32,Closed,0,64.69,255,0,0,0,255,20,43.99,2000,4901.6,4901.6,42.27,31.88,-1.31
351,MARA,Long,27.53,12/5/2024 9:35,12/9/2024 10:48,Closed,0,24.42,428,0,0,0,428,-3.11,-11.3,-311,-1331.08,-1331.08,-11.3,0.54,-3.11
352,AMSC,Long,37,12/5/2024 9:38,12/6/2024 11:49,Closed,0,34.05,323,0,0,0,323,-2.95,-7.97,-295,-952.85,-952.85,-7.97,0.9,-2.95
353,HNST,Long,8.56,12/5/2024 9:45,12/9/2024 10:27,Closed,0,8.02,1393,0,0,0,1393,-0.54,-6.31,-54,-752.22,-752.22,-6.31,0.31,-0.54
354,BTCT,Long,18.52,12/5/2024 9:48,12/5/2024 10:11,Closed,0,16.05,641,0,0,0,641,-2.47,-13.34,-247,-1583.27,-1583.27,-13.34,0.09,-2.47
355,API,Long,5.96,12/5/2024 9:53,12/10/2024 14:31,Closed,0,5.08,1988,0,0,0,1988,-0.88,-14.77,-88,-1749.44,-1749.44,-14.77,0.68,-0.88
356,APLD,Long,10.73,12/6/2024 9:35,12/9/2024 10:39,Closed,0,9.69,1107,0,0,0,1107,-1.04,-9.69,-104,-1151.28,-1151.28,-9.69,0.52,-1.04
357,CRNC,Long,8.06,12/6/2024 9:49,12/12/2024 9:32,Closed,0,7.5,1478,0,0,0,1478,-0.56,-6.95,-56,-827.68,-827.68,-6.95,1.27,-0.56
358,ARQQ,Long,25.48,12/9/2024 9:34,12/16/2024 9:32,Closed,0,23.81,485,0,0,0,485,-1.67,-6.55,-167,-809.95,-809.95,-6.55,5.51,-3.48
359,INOD,Long,49.93,12/9/2024 9:34,12/9/2024 11:11,Closed,0,45.31,248,0,0,0,248,-4.62,-9.25,-462,-1145.76,-1145.76,-9.25,5.24,-4.62
360,INOD,Long,48.55,12/9/2024 11:28,12/9/2024 15:14,Closed,0,44.05,243,0,0,0,243,-4.5,-9.27,-450,-1093.5,-1093.5,-9.27,1.07,-4.5
361,UPST,Long,82.39,12/12/2024 9:35,12/12/2024 14:19,Closed,0,76.93,143,0,0,0,143,-5.46,-6.63,-546,-780.78,-780.78,-6.63,2.9,-5.46
362,GRRR,Long,8.32,12/12/2024 10:28,1/8/2025 9:32,Closed,0,14.26,1436,0,0,0,1436,8.52,102.4,852,8537.02,8537.02,71.45,17.56,-0.94
363,UPST,Long,85.65,12/13/2024 11:53,12/18/2024 14:40,Closed,0,79.63,140,0,0,0,140,-6.02,-7.03,-602,-842.8,-842.8,-7.03,3.3,-6.02
364,COIN,Long,325.22,12/16/2024 9:41,12/17/2024 10:34,Closed,0,304.53,37,0,0,0,37,-20.69,-6.36,-2069,-765.53,-765.53,-6.36,1.01,-20.69
365,QUBT,Long,7.47,12/16/2024 9:44,1/2/2025 9:32,Closed,0,14.2,1631,0,0,0,1631,9.17,122.76,917,10982.35,10982.35,90.14,19.68,-0.14
366,DAVE,Long,96.15,12/16/2024 9:51,12/19/2024 9:32,Closed,0,94.23,126,0,0,0,126,-1.92,-2,-192,-241.92,-241.92,-2,12.35,-7.16
367,QBTS,Long,5.41,12/16/2024 9:59,1/10/2025 9:32,Closed,0,7.73,2253,0,0,0,2253,0.95,17.56,95,5225.59,5225.59,42.87,6,-0.76
368,AI,Long,40.69,12/16/2024 10:03,12/19/2024 9:32,Closed,0,39.42,300,0,0,0,300,-1.27,-3.12,-127,-381,-381,-3.12,3.65,-2.08
369,PTON,Long,10.14,12/16/2024 10:12,12/18/2024 15:38,Closed,0,9.45,1210,0,0,0,1210,-0.69,-6.8,-69,-834.9,-834.9,-6.8,0.76,-0.69
370,MSTR,Long,428.96,12/16/2024 10:24,12/17/2024 10:16,Closed,0,393.23,28,0,0,0,28,-35.73,-8.33,-3573,-1000.44,-1000.44,-8.33,8.65,-35.73
371,QMCO,Long,20.43,12/16/2024 10:24,1/7/2025 9:32,Closed,0,43.97,593,0,0,0,593,30.99,151.69,3099,13960.75,13960.75,115.24,70.21,-0.31
372,PRCH,Long,5.77,12/16/2024 12:13,12/18/2024 14:47,Closed,0,5.09,2170,0,0,0,2170,-0.68,-11.79,-68,-1475.6,-1475.6,-11.79,0.27,-0.68
373,RKLB,Long,25.1,12/16/2024 12:17,12/19/2024 9:32,Closed,0,23.69,499,0,0,0,499,-1.41,-5.62,-141,-703.59,-703.59,-5.62,1.68,-2.21
374,AFRM,Long,73.04,12/16/2024 13:34,12/17/2024 9:32,Closed,0,68.67,176,0,0,0,176,-4.37,-5.98,-437,-769.12,-769.12,-5.98,0.3,-4.37
375,HIMS,Long,32.53,12/17/2024 9:34,12/18/2024 14:10,Closed,0,29.83,403,0,0,0,403,-2.7,-8.3,-270,-1088.1,-1088.1,-8.3,0.61,-2.7
376,HSAI,Long,11.35,12/17/2024 9:44,1/10/2025 9:32,Closed,0,14.45,1167,0,0,0,1167,2.54,22.38,254,3612.42,3612.42,27.27,5,-1.18
377,ARQQ,Long,30.32,12/17/2024 9:47,12/20/2024 9:35,Closed,0,23.07,438,0,0,0,438,-7.25,-23.91,-725,-3175.5,-3175.5,-23.91,12.58,-7.25
378,KC,Long,9.09,12/20/2024 9:42,12/26/2024 9:32,Closed,0,9.95,1437,0,0,0,1437,0.86,9.46,86,1235.82,1235.82,9.46,1.09,-0.22
379,RCAT,Long,10.02,12/20/2024 9:48,1/10/2025 9:32,Closed,0,12.94,1306,0,0,0,1306,1.38,13.77,138,3820.05,3820.05,29.19,5.25,-0.71
380,PLTR,Long,77.88,12/20/2024 11:50,12/31/2024 9:32,Closed,0,77.83,173,0,0,0,173,-0.05,-0.06,-5,-8.65,-8.65,-0.06,6.92,-1.77
381,ACHR,Long,10.1,12/23/2024 9:34,1/2/2025 9:32,Closed,0,9.94,1367,0,0,0,1367,-0.16,-1.58,-16,-218.72,-218.72,-1.58,1.59,-1
382,UMAC,Long,13.79,12/23/2024 9:55,1/8/2025 9:32,Closed,0,17.35,991,0,0,0,991,-0.09,-0.65,-9,3531.61,3531.61,25.84,7.86,-1.26
383,CRNC,Long,8.84,12/23/2024 10:02,12/23/2024 10:22,Closed,0,7.88,1561,0,0,0,1561,-0.96,-10.86,-96,-1498.56,-1498.56,-10.86,0,-0.96
384,SERV,Long,15.51,12/24/2024 9:36,1/2/2025 9:32,Closed,0,13.86,868,0,0,0,868,-1.65,-10.64,-165,-1432.2,-1432.2,-10.64,2.92,-2.16
385,OKLO,Long,22.94,12/24/2024 10:14,1/2/2025 9:32,Closed,0,20.95,590,0,0,0,590,-1.99,-8.67,-199,-1174.1,-1174.1,-8.67,2.05,-2.64
386,RDW,Long,14.4,12/24/2024 10:17,1/10/2025 9:33,Closed,0,17.34,941,0,0,0,941,1.78,12.36,178,2765.38,2765.38,20.41,4.14,-0.15
387,SKYT,Long,14.72,12/24/2024 10:27,1/2/2025 9:32,Closed,0,14.08,929,0,0,0,929,-0.64,-4.35,-64,-594.56,-594.56,-4.35,1.57,-1.06
388,AAOI,Long,39.07,12/24/2024 11:37,12/30/2024 10:01,Closed,0,34.41,351,0,0,0,351,-4.66,-11.93,-466,-1635.66,-1635.66,-11.93,2.2,-4.66
389,CRNC,Long,8.94,12/26/2024 9:38,12/27/2024 10:02,Closed,0,7.92,1550,0,0,0,1550,-1.02,-11.41,-102,-1581,-1581,-11.41,0.05,-1.02
390,INOD,Long,44.87,12/26/2024 9:43,12/31/2024 9:37,Closed,0,40.66,313,0,0,0,313,-4.21,-9.38,-421,-1317.73,-1317.73,-9.38,1.79,-4.21
391,RGTI,Long,12.84,12/26/2024 9:50,1/8/2025 10:14,Closed,0,9.21,1105,0,0,0,1105,-3.63,-28.27,-363,-4011.15,-4011.15,-28.27,8.58,-3.63
392,ARQQ,Long,32.43,12/26/2024 10:04,1/8/2025 9:32,Closed,0,26.37,437,0,0,0,437,-6.06,-18.69,-606,-2648.22,-2648.22,-18.69,20.36,-6.41
393,REAL,Long,9.84,12/26/2024 10:24,1/3/2025 9:32,Closed,0,9.92,1460,0,0,0,1460,0.08,0.81,8,116.8,116.8,0.81,1.54,-0.56
394,MESO,Long,17.58,12/26/2024 10:26,1/8/2025 9:33,Closed,0,17.79,817,0,0,0,817,0.21,1.19,21,171.57,171.57,1.19,4.42,-0.57
395,LX,Long,6.26,12/26/2024 10:38,12/30/2024 9:32,Closed,0,5.91,2325,0,0,0,2325,-0.35,-5.59,-35,-813.75,-813.75,-5.59,0.1,-0.35
396,OMER,Long,11.23,12/27/2024 12:12,12/30/2024 15:16,Closed,0,9.62,1360,0,0,0,1360,-1.61,-14.34,-161,-2189.6,-2189.6,-14.34,0.55,-1.61
397,SIDU,Long,6.43,12/31/2024 9:34,1/2/2025 9:31,Closed,0,3.55,2243,0,0,0,2243,-2.88,-44.79,-288,-6459.84,-6459.84,-44.79,0.32,-2.88
398,BBAR,Long,20.04,1/2/2025 9:55,1/21/2025 9:32,Closed,0,23.11,705,0,0,0,705,2.08,10.38,208,2163.36,2163.36,15.31,4.97,-0.03
399,BTDR,Long,23.97,1/2/2025 9:56,1/7/2025 10:31,Closed,0,20.61,592,0,0,0,592,-3.36,-14.02,-336,-1989.12,-1989.12,-14.02,3.02,-3.36
400,LUNR,Long,19.75,1/2/2025 9:58,1/10/2025 9:32,Closed,0,18.94,719,0,0,0,719,-0.81,-4.1,-81,-582.39,-582.39,-4.1,2.57,-1.88
401,WGS,Long,82.38,1/2/2025 11:56,1/14/2025 10:02,Closed,0,76.75,177,0,0,0,177,-5.63,-6.83,-563,-996.51,-996.51,-6.83,16.49,-5.63
402,CRNC,Long,11.66,1/3/2025 9:36,1/15/2025 9:32,Closed,0,14.52,1255,0,0,0,1255,2.1,18.01,210,3583.78,3583.78,24.49,15.84,-0.96
403,OUST,Long,13.19,1/3/2025 9:40,1/10/2025 9:32,Closed,0,12.01,1120,0,0,0,1120,-1.18,-8.95,-118,-1321.6,-1321.6,-8.95,2.68,-1.5
404,RKLB,Long,26.92,1/3/2025 9:46,1/13/2025 9:32,Closed,0,25.21,550,0,0,0,550,-1.71,-6.35,-171,-940.5,-940.5,-6.35,3.34,-1.77
