Index,Symbol,Direction,Entry Price,Entry Date/Time (E),Exit Date/Time (E),Status,Current Price,Exit Price,Entry Qty,Qty,SL,TP,Exit Qty,Change,Change %,Ticks/Pips,Account PnL,PnL,PnL %,MFE,MAE
38,ARCT,Long,35.68,2/6/2024 9:47,2/20/2024 9:32,Closed,0,36.31,149,0,0,0,149,0.63,1.77,63,93.87,93.87,1.77,6,-0.04
39,PRAX,Long,45.26,2/6/2024 13:50,2/14/2024 9:36,Closed,0,42,117,0,0,0,117,-3.26,-7.2,-326,-381.42,-381.42,-7.2,3.04,-3.97
40,S,Long,28.62,2/7/2024 9:34,2/13/2024 9:31,Closed,0,28,186,0,0,0,186,-0.62,-2.17,-62,-115.32,-115.32,-2.17,1.7,-0.62
41,LQDA,Long,13.81,2/7/2024 9:56,2/20/2024 10:08,Closed,0,13.44,380,0,0,0,380,-0.37,-2.68,-37,-140.6,-140.6,-2.68,1.34,-0.37
42,TMDX,Long,89.1,2/7/2024 10:31,2/8/2024 9:32,Closed,0,86,59,0,0,0,59,-3.1,-3.48,-310,-182.9,-182.9,-3.48,1.53,-3.1
43,IOVA,Long,8.3,2/7/2024 10:32,2/8/2024 9:41,Closed,0,7.99,641,0,0,0,641,-0.31,-3.73,-31,-198.71,-198.71,-3.73,0.14,-0.31
44,VKTX,Long,26.86,2/8/2024 9:35,3/8/2024 9:32,Closed,0,54.51,205,0,0,0,205,49.78,185.33,4978,5667.94,5667.94,102.94,72.55,-0.3
45,ARDX,Long,9.48,2/8/2024 9:41,2/13/2024 14:18,Closed,0,8.97,578,0,0,0,578,-0.51,-5.38,-51,-294.78,-294.78,-5.38,0.65,-0.51
46,GTLB,Long,74.98,2/8/2024 9:50,2/12/2024 12:01,Closed,0,73.47,72,0,0,0,72,-1.51,-2.01,-151,-108.72,-108.72,-2.01,3.55,-1.51
47,VSCO,Long,27.26,2/8/2024 9:52,2/22/2024 9:32,Closed,0,28.69,200,0,0,0,200,1.43,5.25,143,286,286,5.25,3.54,-0.15
48,MOD,Long,71.1,2/8/2024 10:13,3/8/2024 9:32,Closed,0,84.93,77,0,0,0,77,16.66,23.43,1666,1065.08,1065.08,19.45,24.9,-1.98
49,NKTX,Long,10.6,2/8/2024 10:19,2/15/2024 9:32,Closed,0,10.29,523,0,0,0,523,-0.31,-2.92,-31,-162.13,-162.13,-2.92,1.6,-0.46
50,RXST,Long,49.01,2/8/2024 13:47,3/1/2024 9:32,Closed,0,55.41,112,0,0,0,112,6.69,13.65,669,716.8,716.8,13.06,9.03,-1.39
51,RNA,Long,12.75,2/9/2024 9:38,3/26/2024 9:32,Closed,0,19.67,441,0,0,0,441,10.85,85.1,1085,3053.45,3053.45,54.31,13.49,0
52,VERA,Long,39.73,2/9/2024 9:42,2/29/2024 9:33,Closed,0,48,141,0,0,0,141,8.27,20.82,827,1166.07,1166.07,20.82,10.96,-1.43
53,TWST,Long,37.84,2/9/2024 9:45,2/9/2024 10:26,Closed,0,36.51,149,0,0,0,149,-1.33,-3.51,-133,-198.17,-198.17,-3.51,0,-1.33
